condition_id,source_condition_id,partition,stage,stratum,parameters_json,phase_deg,snr_db,position_quantile,seed_namespace,noise_realizations,outcomes_generated,pooled_median_normalized_error,pooled_iqr_normalized_error,transform_failures,retention_reasons
DEV-FOR-FLICKER-001,DEV-BRO-FLICKER-003,development,formal_repeatability,flicker,"{""modulation_depth"":0.0406049919128418,""modulation_frequency_hz"":6.603689779298172}",90.0,20.0,0.5349116143386271,3963288380,100,False,0.07420297263249034,0.16343060290423445,0,fixed_stratified_audit_sample
DEV-FOR-FLICKER-002,DEV-BRO-FLICKER-005,development,formal_repeatability,flicker,"{""modulation_depth"":0.0293549919128418,""modulation_frequency_hz"":22.937023112631504}",0.0,30.0,0.6525586731621565,3138798603,100,False,0.17412627427025987,0.3193706084170278,0,pooled_iqr_gt_0.25
DEV-FOR-FLICKER-003,DEV-BRO-FLICKER-006,development,formal_repeatability,flicker,"{""modulation_depth"":0.0743549919128418,""modulation_frequency_hz"":2.066652742261135}",45.0,30.0,0.7113822025739212,1407166500,100,False,0.2128332478996279,0.4329888713389868,0,pooled_iqr_gt_0.25;fixed_stratified_audit_sample
DEV-FOR-FLICKER-004,DEV-BRO-FLICKER-012,development,formal_repeatability,flicker,"{""modulation_depth"":0.0827924919128418,""modulation_frequency_hz"":7.5110971867055785}",135.0,40.0,0.06778358665696615,1837989626,100,False,0.037236272686468425,0.062033925684515476,0,fixed_stratified_audit_sample
DEV-FOR-FLICKER-005,DEV-BRO-FLICKER-014,development,formal_repeatability,flicker,"{""modulation_depth"":0.0715424919128418,""modulation_frequency_hz"":23.84443052003891}",45.0,50.0,0.18543064548049557,2556287873,100,False,0.21236235030742825,0.3689076467926873,0,pooled_iqr_gt_0.25;fixed_stratified_audit_sample
DEV-FOR-FLICKER-006,DEV-BRO-FLICKER-015,development,formal_repeatability,flicker,"{""modulation_depth"":0.0490424919128418,""modulation_frequency_hz"":2.9740601496685426}",90.0,50.0,0.24425417489226028,664249854,100,False,0.19677759695521707,0.39063516420294286,0,pooled_iqr_gt_0.25
DEV-FOR-FLICKER-007,DEV-BRO-FLICKER-020,development,formal_repeatability,flicker,"{""modulation_depth"":0.0884174919128418,""modulation_frequency_hz"":22.029615705224096}",135.0,20.0,0.5383718219510838,2213114485,100,False,0.1677237721711105,0.2740648614676756,0,pooled_iqr_gt_0.25;fixed_stratified_audit_sample
DEV-FOR-FLICKER-008,DEV-BRO-FLICKER-021,development,formal_repeatability,flicker,"{""modulation_depth"":0.0321674919128418,""modulation_frequency_hz"":8.418504594112985}",0.0,30.0,0.5971953513628485,4012365691,100,False,0.10011103519686988,0.18076238765515892,0,fixed_stratified_audit_sample
DEV-FOR-FLICKER-009,DEV-BRO-FLICKER-023,development,formal_repeatability,flicker,"{""modulation_depth"":0.0546674919128418,""modulation_frequency_hz"":24.751837927446317}",90.0,30.0,0.7148424101863778,1821824163,100,False,0.2040768901253981,0.39037385797458035,0,boundary;pooled_iqr_gt_0.25
DEV-FOR-FLICKER-010,DEV-BRO-FLICKER-024,development,formal_repeatability,flicker,"{""modulation_depth"":0.0996674919128418,""modulation_frequency_hz"":0.6551301085162793}",135.0,30.0,0.7736659395981426,2680919244,100,False,0.23838833876607196,0.49830085197027985,0,boundary;pooled_iqr_gt_0.25
DEV-FOR-FLICKER-011,DEV-BRO-FLICKER-025,development,formal_repeatability,flicker,"{""modulation_depth"":0.010194835662841796,""modulation_frequency_hz"":8.821796775182944}",0.0,40.0,0.8324894690099073,3785551381,100,False,0.10971790198576832,0.16278231159082707,0,boundary
DEV-FOR-FLICKER-012,DEV-BRO-FLICKER-027,development,formal_repeatability,flicker,"{""modulation_depth"":0.0326948356628418,""modulation_frequency_hz"":3.377352330738501}",90.0,40.0,0.9501365278334367,709035599,100,False,0.18972741735258955,0.37168367464212343,0,pooled_iqr_gt_0.25
DEV-FOR-FLICKER-013,DEV-BRO-FLICKER-028,development,formal_repeatability,flicker,"{""modulation_depth"":0.0776948356628418,""modulation_frequency_hz"":11.544018997405166}",135.0,40.0,0.0124202648576582,757821197,100,False,0.044036054704560776,0.11100744569055096,0,fixed_stratified_audit_sample
