condition_id,partition,stage,stratum,parameters_json,phase_deg,snr_db,position_quantile,seed_namespace,noise_realizations,outcomes_generated
CON-SEA-SAG-001,confirmation,sealed_confirmation,sag,"{""duration_cycles"":24.262561287769163,""residual_voltage_pu"":0.20706710815429688}",22.5,25,0.7771176956552667,693136983,100,False
CON-SEA-SAG-002,confirmation,sealed_confirmation,sag,"{""duration_cycles"":7.873672398880277,""residual_voltage_pu"":0.6070671081542969}",67.5,25,0.8359412250670314,1818675959,100,False
CON-SEA-SAG-003,confirmation,sealed_confirmation,sag,"{""duration_cycles"":17.70700573221361,""residual_voltage_pu"":0.4070671081542969}",112.5,25,0.8947647544787961,3321599269,100,False
CON-SEA-SAG-004,confirmation,sealed_confirmation,sag,"{""duration_cycles"":27.54033906554694,""residual_voltage_pu"":0.8070671081542969}",157.5,25,0.9535882838905608,1679932989,100,False
CON-SEA-SAG-005,confirmation,sealed_confirmation,sag,"{""duration_cycles"":2.4107094359173136,""residual_voltage_pu"":0.1570671081542969}",22.5,35,0.015872020914782264,1332209091,100,False
CON-SEA-SAG-006,confirmation,sealed_confirmation,sag,"{""duration_cycles"":12.244042769250647,""residual_voltage_pu"":0.5570671081542969}",67.5,35,0.07469555032654697,3937684000,100,False
CON-SEA-SAG-007,confirmation,sealed_confirmation,sag,"{""duration_cycles"":22.07737610258398,""residual_voltage_pu"":0.3570671081542969}",112.5,35,0.13351907973831167,3461245730,100,False
CON-SEA-SAG-008,confirmation,sealed_confirmation,sag,"{""duration_cycles"":5.688487213695092,""residual_voltage_pu"":0.7570671081542969}",157.5,35,0.19234260915007637,1191395923,100,False
CON-SEA-SAG-009,confirmation,sealed_confirmation,sag,"{""duration_cycles"":15.521820547028426,""residual_voltage_pu"":0.2570671081542969}",22.5,25,0.25116613856184106,2541767160,100,False
CON-SEA-SAG-010,confirmation,sealed_confirmation,sag,"{""duration_cycles"":25.355153880361755,""residual_voltage_pu"":0.6570671081542969}",67.5,25,0.3099896679736058,3665889072,100,False
CON-SEA-SAG-011,confirmation,sealed_confirmation,sag,"{""duration_cycles"":8.966264991472869,""residual_voltage_pu"":0.45706710815429685}",112.5,25,0.36881319738537044,3837429468,100,False
CON-SEA-SAG-012,confirmation,sealed_confirmation,sag,"{""duration_cycles"":18.7995983248062,""residual_voltage_pu"":0.8570671081542969}",157.5,25,0.42763672679713516,1220857533,100,False
CON-SEA-SAG-013,confirmation,sealed_confirmation,sag,"{""duration_cycles"":28.632931658139533,""residual_voltage_pu"":0.1320671081542969}",22.5,35,0.4864602562088999,501004954,100,False
CON-SEA-SAG-014,confirmation,sealed_confirmation,sag,"{""duration_cycles"":3.503302028509906,""residual_voltage_pu"":0.5320671081542969}",67.5,35,0.5452837856206646,3921508622,100,False
CON-SEA-SAG-015,confirmation,sealed_confirmation,sag,"{""duration_cycles"":13.33663536184324,""residual_voltage_pu"":0.33206710815429685}",112.5,35,0.6041073150324293,148289989,100,False
CON-SEA-SAG-016,confirmation,sealed_confirmation,sag,"{""duration_cycles"":23.16996869517657,""residual_voltage_pu"":0.7320671081542969}",157.5,35,0.662930844444194,1050488797,100,False
CON-SEA-SAG-017,confirmation,sealed_confirmation,sag,"{""duration_cycles"":6.781079806287685,""residual_voltage_pu"":0.23206710815429688}",22.5,25,0.7217543738559586,849399607,100,False
CON-SEA-SAG-018,confirmation,sealed_confirmation,sag,"{""duration_cycles"":16.614413139621018,""residual_voltage_pu"":0.6320671081542969}",67.5,25,0.7805779032677234,1470647264,100,False
CON-SEA-SAG-019,confirmation,sealed_confirmation,sag,"{""duration_cycles"":26.447746472954346,""residual_voltage_pu"":0.43206710815429694}",112.5,25,0.8394014326794881,115540267,100,False
CON-SEA-SAG-020,confirmation,sealed_confirmation,sag,"{""duration_cycles"":10.058857584065462,""residual_voltage_pu"":0.8320671081542969}",157.5,25,0.8982249620912528,3160837136,100,False
CON-SEA-SAG-021,confirmation,sealed_confirmation,sag,"{""duration_cycles"":19.892190917398796,""residual_voltage_pu"":0.18206710815429689}",22.5,35,0.9570484915030175,2188575279,100,False
CON-SEA-SAG-022,confirmation,sealed_confirmation,sag,"{""duration_cycles"":29.72552425073213,""residual_voltage_pu"":0.5820671081542969}",67.5,35,0.019332228527239013,2622482335,100,False
CON-SEA-SAG-023,confirmation,sealed_confirmation,sag,"{""duration_cycles"":0.711120958551059,""residual_voltage_pu"":0.3820671081542969}",112.5,35,0.07815575793900371,3412875556,100,False
CON-SEA-SAG-024,confirmation,sealed_confirmation,sag,"{""duration_cycles"":10.54445429188439,""residual_voltage_pu"":0.7820671081542969}",157.5,35,0.13697928735076845,823371621,100,False
CON-SEA-SAG-025,confirmation,sealed_confirmation,sag,"{""duration_cycles"":20.377787625217724,""residual_voltage_pu"":0.2820671081542969}",22.5,25,0.1958028167625331,4282848146,100,False
CON-SEA-SAG-026,confirmation,sealed_confirmation,sag,"{""duration_cycles"":3.9888987363288364,""residual_voltage_pu"":0.6820671081542968}",67.5,25,0.2546263461742978,3758114760,100,False
CON-SEA-SAG-027,confirmation,sealed_confirmation,sag,"{""duration_cycles"":13.822232069662169,""residual_voltage_pu"":0.4820671081542969}",112.5,25,0.3134498755860625,3283152193,100,False
CON-SEA-SAG-028,confirmation,sealed_confirmation,sag,"{""duration_cycles"":23.6555654029955,""residual_voltage_pu"":0.8820671081542969}",157.5,25,0.3722734049978272,577391037,100,False
CON-SEA-SAG-029,confirmation,sealed_confirmation,sag,"{""duration_cycles"":7.266676514106615,""residual_voltage_pu"":0.11956710815429689}",22.5,35,0.4310969344095919,192421557,100,False
CON-SEA-SAG-030,confirmation,sealed_confirmation,sag,"{""duration_cycles"":17.10000984743995,""residual_voltage_pu"":0.5195671081542969}",67.5,35,0.4899204638213566,3051370378,100,False
CON-SEA-SAG-031,confirmation,sealed_confirmation,sag,"{""duration_cycles"":26.933343180773278,""residual_voltage_pu"":0.3195671081542969}",112.5,35,0.5487439932331214,2861399442,100,False
CON-SEA-SAG-032,confirmation,sealed_confirmation,sag,"{""duration_cycles"":1.8037135511436513,""residual_voltage_pu"":0.7195671081542969}",157.5,35,0.6075675226448861,2278680794,100,False
CON-SEA-SAG-033,confirmation,sealed_confirmation,sag,"{""duration_cycles"":11.637046884476984,""residual_voltage_pu"":0.2195671081542969}",22.5,25,0.6663910520566508,3924334824,100,False
