stratum,failed_model,outcome,estimand,method_a,method_b,condition_n,marginal_mean_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
harmonics,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,wavelet,27,0.09038579330183823,0.05615899129997671,0.12287072796336343,0.0009995002498750624,0.005997001499250375
harmonics,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,s_transform,27,-0.1300374943873131,-0.19472479605116536,-0.06584801760136215,0.0009995002498750624,0.005997001499250375
harmonics,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,vmd,27,0.015025214580107235,-0.044021939162385025,0.06549604480923338,0.5807096451774113,0.5807096451774113
harmonics,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,s_transform,27,-0.22042328768915134,-0.3069599258763478,-0.1331417429142505,0.0009995002498750624,0.005997001499250375
harmonics,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,vmd,27,-0.07536057872173098,-0.11736543095724636,-0.03595480799393665,0.0009995002498750624,0.005997001499250375
harmonics,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,s_transform,vmd,27,0.14506270896742038,0.03204709359656067,0.2525372340939232,0.017991004497751123,0.035982008995502246
interruption,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,wavelet,20,-0.1947953266223868,-0.27334099258847294,-0.11665464484961523,0.0009995002498750624,0.005997001499250375
interruption,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,s_transform,20,-0.1971015716006869,-0.26476000050785486,-0.12657643779273692,0.0009995002498750624,0.005997001499250375
interruption,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,vmd,20,-0.22895557906992142,-0.2948363983158996,-0.16687078837590116,0.0009995002498750624,0.005997001499250375
interruption,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,s_transform,20,-0.0023062449783000623,-0.025267207751324884,0.016858434904447155,0.8425787106446777,0.8425787106446777
interruption,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,vmd,20,-0.034160252447534595,-0.08556662550901184,0.00037358687048942796,0.0559720139930035,0.111944027986007
interruption,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,s_transform,vmd,20,-0.03185400746923454,-0.06423812008707301,-0.006630209434473789,0.008995502248875561,0.026986506746626684
notching,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,wavelet,21,-0.014941065926490634,-0.03935524100504015,0.008664007611304005,0.20589705147426288,1.0
notching,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,s_transform,21,-0.025382013525631953,-0.08720745410886847,0.03453243451626988,0.41179410294852575,1.0
notching,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,vmd,21,-0.03373460662789277,-0.0891180727857715,0.01008540709335572,0.16491754122938532,0.989505247376312
notching,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,s_transform,21,-0.010440947599141312,-0.08249681701655277,0.057999926260305104,0.7896051974012993,1.0
notching,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,vmd,21,-0.01879354070140214,-0.07964982982013927,0.032991736601838746,0.5487256371814093,1.0
notching,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,s_transform,vmd,21,-0.008352593102260828,-0.06741907552313997,0.05144585799713444,0.7486256871564217,1.0
notching,qualification_pass,pass_primary,all-record qualification-pass probability difference,stft,wavelet,21,-0.003333333333333331,-0.14619047619047618,0.13952380952380952,0.896551724137931,1.0
notching,qualification_pass,pass_primary,all-record qualification-pass probability difference,stft,s_transform,21,-0.003809523809523813,-0.19047619047619047,0.18285714285714286,0.9185407296351824,1.0
notching,qualification_pass,pass_primary,all-record qualification-pass probability difference,stft,vmd,21,-0.004285714285714287,-0.11285714285714286,0.11571428571428573,0.9475262368815592,1.0
notching,qualification_pass,pass_primary,all-record qualification-pass probability difference,wavelet,s_transform,21,-0.0004761904761904766,-0.23809523809523808,0.23666666666666666,0.9425287356321839,1.0
notching,qualification_pass,pass_primary,all-record qualification-pass probability difference,wavelet,vmd,21,-0.0009523809523809558,-0.14285714285714285,0.1414285714285714,0.9515242378810594,1.0
notching,qualification_pass,pass_primary,all-record qualification-pass probability difference,s_transform,vmd,21,-0.0004761904761904872,-0.16082142857142856,0.15942857142856934,0.9855072463768116,1.0
sag,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,wavelet,19,0.050443227071607685,0.01862322383566451,0.08073949756872777,0.00399800099950025,0.015992003998001
sag,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,s_transform,19,0.04639711459377214,-0.05075947658111854,0.13813970269492493,0.29985007496251875,0.5997001499250375
sag,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,vmd,19,-0.08980307357218549,-0.14759566547120662,-0.03586325959825867,0.0009995002498750624,0.005997001499250375
sag,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,s_transform,19,-0.00404611247783554,-0.09623967316754597,0.07628539489754897,0.9835082458770614,0.9835082458770614
sag,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,vmd,19,-0.14024630064379318,-0.20662933457072682,-0.07274264651623834,0.0009995002498750624,0.005997001499250375
sag,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,s_transform,vmd,19,-0.13620018816595766,-0.2135648292012722,-0.04710925682312722,0.0069965017491254375,0.020989505247376312
swell,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,wavelet,18,0.026858835419035137,-0.01664558226406871,0.0687573690508752,0.24687656171914044,0.7196401799100449
swell,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,s_transform,18,0.04886282561801179,-0.014665488561380955,0.11214235628988983,0.1329335332333833,0.5317341329335332
swell,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,stft,vmd,18,-0.025195377119493552,-0.06917978693112163,0.014837669325316272,0.239880059970015,0.7196401799100449
swell,continuous_error,normalized_absolute_error,conditional finite-estimate mean error difference,wavelet,s_transform,18,0.022003990198976656,-0.042363793905355114,0.08050480722121846,0.48375812093953025,0.7196401799100449
