stratum,method_a,method_b,paired_finite_condition_n,conditional_mean_error_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
flicker,stft,wavelet,36,-0.3089645831805343,-0.35799672786969383,-0.26438965251584967,0.0009995002498750624,0.005997001499250375
flicker,stft,s_transform,36,-0.02542933193682933,-0.06998958789279282,0.006442703536861704,0.22488755622188905,0.25987006496751625
flicker,stft,vmd,36,-0.2916667254119162,-0.329763285910549,-0.24936438252266158,0.0009995002498750624,0.005997001499250375
flicker,wavelet,s_transform,36,0.28353525124370493,0.21995713814885687,0.3417426310817655,0.0009995002498750624,0.005997001499250375
flicker,wavelet,vmd,36,0.01729785776861823,-0.005338175058773313,0.03944338564209997,0.12993503248375812,0.25987006496751625
flicker,s_transform,vmd,36,-0.2662373934750868,-0.31770721243050304,-0.20745019797845227,0.0009995002498750624,0.005997001499250375
harmonics,stft,wavelet,27,0.09038579330183823,0.0558145336690149,0.1250223289205466,0.0009995002498750624,0.005997001499250375
harmonics,stft,s_transform,27,-0.1300374943873131,-0.19440528115979497,-0.06803999271761228,0.0009995002498750624,0.005997001499250375
harmonics,stft,vmd,27,0.015025214580107235,-0.04192060685948463,0.06843172564816033,0.6086956521739131,0.6086956521739131
harmonics,wavelet,s_transform,27,-0.22042328768915134,-0.30635493523837376,-0.12647223811727668,0.0009995002498750624,0.005997001499250375
harmonics,wavelet,vmd,27,-0.07536057872173098,-0.11803941686866258,-0.03605891180138101,0.0009995002498750624,0.005997001499250375
harmonics,s_transform,vmd,27,0.14506270896742038,0.03190012143177857,0.253773622656181,0.015992003998001,0.031984007996002
impulsive_transient,stft,wavelet,34,-0.04806519882616594,-0.11605307955671636,0.022656020774257865,0.191904047976012,0.383808095952024
impulsive_transient,stft,s_transform,34,-0.2688150996564428,-0.39477483909285227,-0.15088442727111048,0.0009995002498750624,0.005997001499250375
impulsive_transient,stft,vmd,34,-0.10154471470792843,-0.18065499952787192,-0.023305147901016197,0.012993503248375811,0.038980509745127435
impulsive_transient,wavelet,s_transform,34,-0.22074990083027685,-0.37197718052751205,-0.0706172675410812,0.004997501249375313,0.024987506246876564
impulsive_transient,wavelet,vmd,34,-0.0534795158817625,-0.1339149700301257,0.02386151471136729,0.19290354822588707,0.383808095952024
impulsive_transient,s_transform,vmd,34,0.16727038494851434,0.04731704947661653,0.2898720133417016,0.0079960019990005,0.031984007996002
