stratum,method,finite_condition_n,conditional_mean_normalized_absolute_error,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
flicker,stft,36,0.01551044482183188,0.010618189809289686,0.0218585560872021
flicker,wavelet,36,0.3244750280023663,0.2814279216605957,0.36938581158417955
flicker,s_transform,36,0.040939776758661214,0.010963805374351486,0.08494777043689733
flicker,vmd,36,0.307177170233748,0.26337770493264484,0.34500310154639946
harmonics,stft,27,0.27053778684927116,0.21700476783236378,0.32860159309213194
harmonics,wavelet,27,0.18015199354743297,0.13911659718874028,0.22541862819495892
harmonics,s_transform,27,0.40057528123658426,0.30457857001136607,0.4939038936635054
harmonics,vmd,27,0.25551257226916396,0.19994479906083754,0.3176426107922375
impulsive_transient,stft,34,0.17919699988291252,0.14735974306090435,0.21199150350212378
impulsive_transient,wavelet,34,0.22726219870907843,0.16575319329471344,0.29477548274964116
impulsive_transient,s_transform,34,0.4480120995393553,0.3203305509193182,0.5792452844501096
impulsive_transient,vmd,34,0.28074171459084096,0.2169834957473846,0.3505588702163748
interruption,stft,20,0.0708272016409215,0.03361980341035467,0.12843621805697983
interruption,wavelet,20,0.26562252826330834,0.20835979501183768,0.32460673065979834
interruption,s_transform,20,0.26792877324160835,0.20608676298180142,0.32635676293328797
interruption,vmd,20,0.2997827807108429,0.2332435525393999,0.3797362529911937
notching,stft,21,0.1599993599003539,0.10935778921130333,0.2210888902440333
notching,wavelet,21,0.17494042582684455,0.12217804336338554,0.23082443104505432
notching,s_transform,21,0.18538137342598587,0.1307024163715041,0.2414930832055455
notching,vmd,21,0.19373396652824665,0.12929011695613984,0.266552853874816
oscillatory_transient,stft,27,0.2867427811749006,0.2232331511382713,0.3433964534720309
oscillatory_transient,wavelet,27,0.28352962316660685,0.22215259076418395,0.3425264825326487
oscillatory_transient,s_transform,27,0.18811803479863573,0.13738500878165294,0.24154403786203887
oscillatory_transient,vmd,21,0.09917768278813943,0.07248241079298469,0.1290942018791172
sag,stft,19,0.16232006429539206,0.10508235799396237,0.2282862836107597
sag,wavelet,19,0.1118768372237844,0.06703287698358959,0.16082432611965833
sag,s_transform,19,0.11592294970161991,0.0713510722528624,0.18259246957136024
sag,vmd,19,0.25212313786757756,0.18919930631277962,0.31667861898881017
swell,stft,18,0.203217973939721,0.1349251507800659,0.27912581596424385
swell,wavelet,18,0.1763591385206858,0.1267156798963277,0.2283498335022858
swell,s_transform,18,0.15435514832170918,0.08872397871508288,0.23756839632309004
swell,vmd,18,0.22841335105921454,0.16255608401958493,0.29745009977304343
