stratum,outcome,tolerance_level,primary_decision_level,method,condition_n,marginal_probability,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
flicker,qualification_pass,half_tolerance,False,stft,36,0.8863888888888889,0.7777777777777778,0.9722222222222222
flicker,qualification_pass,half_tolerance,False,wavelet,36,0.0005555555555555556,0.0,0.0016666666666666666
flicker,qualification_pass,half_tolerance,False,s_transform,36,0.9172222222222222,0.8077777777777777,1.0
flicker,qualification_pass,half_tolerance,False,vmd,36,0.027777777777777776,0.0,0.08333333333333333
flicker,qualification_pass,primary_tolerance,True,stft,36,0.9974999999999999,0.9924999999999999,1.0
flicker,qualification_pass,primary_tolerance,True,wavelet,36,0.05611111111111111,0.0,0.13944444444444443
flicker,qualification_pass,primary_tolerance,True,s_transform,36,0.9563888888888888,0.8880555555555555,1.0
flicker,qualification_pass,primary_tolerance,True,vmd,36,0.05555555555555555,0.0,0.1388888888888889
flicker,qualification_pass,double_tolerance,False,stft,36,0.9974999999999999,0.9924999999999999,1.0
flicker,qualification_pass,double_tolerance,False,wavelet,36,0.08333333333333333,0.0,0.19444444444444445
flicker,qualification_pass,double_tolerance,False,s_transform,36,0.9563888888888888,0.8880555555555555,1.0
flicker,qualification_pass,double_tolerance,False,vmd,36,0.1111111111111111,0.027777777777777776,0.2222222222222222
harmonics,qualification_pass,half_tolerance,False,stft,27,0.05296296296296296,0.0,0.14296296296296296
harmonics,qualification_pass,half_tolerance,False,wavelet,27,0.0811111111111111,0.0,0.1922222222222222
harmonics,qualification_pass,half_tolerance,False,s_transform,27,0.08148148148148147,0.00037037037037037035,0.19296296296296298
harmonics,qualification_pass,half_tolerance,False,vmd,27,0.0637037037037037,0.004814814814814815,0.1500092592592592
harmonics,qualification_pass,primary_tolerance,True,stft,27,0.11222222222222224,0.0011111111111111111,0.2255555555555556
harmonics,qualification_pass,primary_tolerance,True,wavelet,27,0.36962962962962964,0.18481481481481482,0.5548148148148149
harmonics,qualification_pass,primary_tolerance,True,s_transform,27,0.18518518518518517,0.037037037037037035,0.3333333333333333
harmonics,qualification_pass,primary_tolerance,True,vmd,27,0.16296296296296298,0.047027777777777786,0.29706481481481467
harmonics,qualification_pass,double_tolerance,False,stft,27,0.38111111111111107,0.19666666666666668,0.5548148148148149
harmonics,qualification_pass,double_tolerance,False,wavelet,27,0.7444444444444445,0.5925925925925926,0.8925925925925926
harmonics,qualification_pass,double_tolerance,False,s_transform,27,0.1937037037037037,0.07407407407407407,0.3503703703703704
harmonics,qualification_pass,double_tolerance,False,vmd,27,0.5325925925925926,0.3507314814814814,0.7089074074074073
impulsive_transient,qualification_pass,half_tolerance,False,stft,34,0.06382352941176471,0.0,0.14770588235294088
impulsive_transient,qualification_pass,half_tolerance,False,wavelet,34,0.06411764705882353,0.00823529411764706,0.14323529411764707
impulsive_transient,qualification_pass,half_tolerance,False,s_transform,34,0.07941176470588236,0.0,0.17654411764705844
impulsive_transient,qualification_pass,half_tolerance,False,vmd,34,0.003823529411764706,0.0,0.01088235294117647
impulsive_transient,qualification_pass,primary_tolerance,True,stft,34,0.08529411764705883,0.0,0.17647058823529413
impulsive_transient,qualification_pass,primary_tolerance,True,wavelet,34,0.20088235294117648,0.08529411764705883,0.32825
impulsive_transient,qualification_pass,primary_tolerance,True,s_transform,34,0.15088235294117647,0.03705882352941176,0.2685294117647059
impulsive_transient,qualification_pass,primary_tolerance,True,vmd,34,0.04676470588235294,0.0,0.11947058823529376
impulsive_transient,qualification_pass,double_tolerance,False,stft,34,0.22176470588235295,0.08823529411764706,0.36882352941176466
impulsive_transient,qualification_pass,double_tolerance,False,wavelet,34,0.23823529411764705,0.09411764705882353,0.3852941176470588
impulsive_transient,qualification_pass,double_tolerance,False,s_transform,34,0.20558823529411765,0.08794117647058824,0.34911764705882353
impulsive_transient,qualification_pass,double_tolerance,False,vmd,34,0.08823529411764706,0.0,0.17647058823529413
interruption,qualification_pass,half_tolerance,False,stft,20,0.5905000000000001,0.39346250000000005,0.7830125
interruption,qualification_pass,half_tolerance,False,wavelet,20,0.0,0.0,0.0
interruption,qualification_pass,half_tolerance,False,s_transform,20,0.0,0.0,0.0
interruption,qualification_pass,half_tolerance,False,vmd,20,0.037,0.0009875000000000007,0.0925
interruption,qualification_pass,primary_tolerance,True,stft,20,0.8195,0.668,0.9494999999999999
interruption,qualification_pass,primary_tolerance,True,wavelet,20,0.2,0.05,0.4
interruption,qualification_pass,primary_tolerance,True,s_transform,20,0.1625,0.027000000000000003,0.32599999999999996
interruption,qualification_pass,primary_tolerance,True,vmd,20,0.10299999999999998,0.014500000000000002,0.22601249999999992
