stratum,outcome,tolerance_level,primary_decision_level,method_a,method_b,condition_n,probability_difference_a_minus_b,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_p_value,holm_p_value
flicker,qualification_pass,half_tolerance,False,stft,wavelet,36,0.8858333333333334,0.7777638888888889,0.9716666666666667,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,half_tolerance,False,stft,s_transform,36,-0.03083333333333333,-0.1691666666666667,0.10861111111111099,0.6146926536731634,1.0
flicker,qualification_pass,half_tolerance,False,stft,vmd,36,0.8586111111111111,0.7474999999999999,0.964784722222222,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,half_tolerance,False,wavelet,s_transform,36,-0.9166666666666666,-0.9994444444444445,-0.8077777777777777,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,half_tolerance,False,wavelet,vmd,36,-0.02722222222222222,-0.08333333333333333,0.0016666666666666666,0.7116441779110445,1.0
flicker,qualification_pass,half_tolerance,False,s_transform,vmd,36,0.8894444444444444,0.7788888888888889,0.9727777777777776,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,primary_tolerance,True,stft,wavelet,36,0.9413888888888889,0.858611111111111,0.9994444444444445,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,primary_tolerance,True,stft,s_transform,36,0.04111111111111111,-0.0050000000000000044,0.11194444444444451,0.2748625687156422,0.5497251374312844
flicker,qualification_pass,primary_tolerance,True,stft,vmd,36,0.9419444444444444,0.858611111111111,1.0,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,primary_tolerance,True,wavelet,s_transform,36,-0.9002777777777777,-0.9805555555555556,-0.8016666666666667,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,primary_tolerance,True,wavelet,vmd,36,0.0005555555555555561,-0.08166666666666667,0.08333333333333333,0.9525237381309345,0.9525237381309345
flicker,qualification_pass,primary_tolerance,True,s_transform,vmd,36,0.9008333333333334,0.7986111111111112,0.9811111111111112,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,double_tolerance,False,stft,wavelet,36,0.9141666666666666,0.8055555555555556,0.9974999999999999,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,double_tolerance,False,stft,s_transform,36,0.04111111111111111,-0.0050000000000000044,0.11031944444444447,0.2698650674662669,0.5397301349325337
flicker,qualification_pass,double_tolerance,False,stft,vmd,36,0.8863888888888889,0.7727777777777778,0.9722222222222222,0.0009995002498750624,0.005997001499250375
flicker,qualification_pass,double_tolerance,False,wavelet,s_transform,36,-0.8730555555555556,-0.9722222222222222,-0.7607916666666669,0.0009995002498750624,0.005997001499250375
