stratum,method,condition_n,covariates,target_effect,largest_absolute_nuisance_effect,target_minus_largest_nuisance,margin_bootstrap_ci_low,margin_bootstrap_ci_high,monotonic_positive,target_exceeds_largest_nuisance,point_margin_pass,physical_response_gate_pass,bootstrap_supportive_strict_pass
flicker,s_transform,36,modulation_frequency_hz;snr_db;position_quantile;modulation_depth;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,20.61072708643897,3.041325178460026,17.569401907978943,6.246582612544553,23.43731779029615,True,True,True,True,True
flicker,stft,36,modulation_frequency_hz;snr_db;position_quantile;modulation_depth;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,23.92247627928853,1.5366923926949556,22.385783886593575,19.19544372675602,23.92979868272347,True,True,True,True,True
flicker,vmd,36,modulation_frequency_hz;snr_db;position_quantile;modulation_depth;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,5.361367222996797,21.418676904058945,-16.057309681062147,-31.067205950269894,-4.132880318288615,True,False,False,False,False
flicker,wavelet,36,modulation_frequency_hz;snr_db;position_quantile;modulation_depth;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,4.288825610585905,26.462546661365558,-22.173721050779655,-36.8227360924738,-9.828552653156411,True,False,False,False,False
harmonics,s_transform,27,a3_pu;snr_db;position_quantile;a5_pu;a7_pu;phi3_deg;phi5_deg;phi7_deg;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.07935045223241338,0.06379153353827371,0.015558918694139667,-0.03337527527289911,0.032038329637801295,True,True,True,False,False
harmonics,stft,27,a3_pu;snr_db;position_quantile;a5_pu;a7_pu;phi3_deg;phi5_deg;phi7_deg;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.05598522439690489,0.03047041821583998,0.02551480618106491,-0.006189833593859965,0.03512715106287145,True,True,True,False,False
harmonics,vmd,27,a3_pu;snr_db;position_quantile;a5_pu;a7_pu;phi3_deg;phi5_deg;phi7_deg;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.0419453887517291,0.022936005134388295,0.019009383617340808,-0.02706747385807536,0.030036418928926216,True,True,True,False,False
harmonics,wavelet,27,a3_pu;snr_db;position_quantile;a5_pu;a7_pu;phi3_deg;phi5_deg;phi7_deg;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.05435073352304928,0.03334299102818895,0.021007742494860336,-0.0053165120189255085,0.04041646771761411,True,True,True,False,False
impulsive_transient,s_transform,34,absolute_amplitude_pu;snr_db;position_quantile;polarity;width_ms;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,1.6893721263991677,0.8637537163881711,0.8256184100109966,0.40816923032583546,1.1160677879533167,True,True,True,True,True
impulsive_transient,stft,34,absolute_amplitude_pu;snr_db;position_quantile;polarity;width_ms;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.9757259337788393,0.2832082376937157,0.6925176960851236,0.4777745076423127,0.8111421308726188,True,True,True,True,True
