stratum,method,snr_db,conditions,records,availability,standardized_absolute_bias,standardized_rmse,pass_proportion_half_tolerance,pass_proportion_primary_tolerance,pass_proportion_double_tolerance,numerical_gates_pass,interpretation
flicker,s_transform,20.0,9,900,1.0,1.6467453659634579,4.20693437547065,0.78,0.8255555555555556,0.8255555555555556,False,exploratory SNR slice; not a frozen validity domain
flicker,s_transform,30.0,9,900,1.0,0.07134168922192245,0.3141984013604481,0.8888888888888888,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
flicker,s_transform,40.0,10,1000,1.0,0.024060250416761762,0.25447601069192516,1.0,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
flicker,s_transform,50.0,8,800,1.0,0.0013834015091214668,0.24086273909337252,1.0,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
flicker,stft,20.0,9,900,1.0,0.1650379337486074,0.2844991002833152,0.8888888888888888,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
flicker,stft,30.0,9,900,1.0,0.08868253583123459,0.24839135460933837,1.0,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
flicker,stft,40.0,10,1000,1.0,0.16104480833781354,1.256985405315688,0.791,0.991,0.991,False,exploratory SNR slice; not a frozen validity domain
flicker,stft,50.0,8,800,1.0,0.1341230270233942,0.2846582250566626,0.875,1.0,1.0,True,exploratory SNR slice; not a frozen validity domain
flicker,vmd,20.0,9,900,1.0,4.935038057022394,14.220601850916712,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
flicker,vmd,30.0,9,900,1.0,8.376798715033841,19.0210561214696,0.0,0.1111111111111111,0.1111111111111111,False,exploratory SNR slice; not a frozen validity domain
flicker,vmd,40.0,10,1000,1.0,3.847897477515768,7.737058666588267,0.0,0.0,0.2,False,exploratory SNR slice; not a frozen validity domain
flicker,vmd,50.0,8,800,1.0,0.8371639098580439,5.680451952261736,0.125,0.125,0.125,False,exploratory SNR slice; not a frozen validity domain
flicker,wavelet,20.0,9,900,1.0,5.968026496707447,17.420123309473976,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
flicker,wavelet,30.0,9,900,1.0,10.489521127222854,23.823221782223232,0.0022222222222222222,0.0022222222222222222,0.1111111111111111,False,exploratory SNR slice; not a frozen validity domain
flicker,wavelet,40.0,10,1000,1.0,3.9541134645411957,8.748442129156558,0.0,0.1,0.1,False,exploratory SNR slice; not a frozen validity domain
flicker,wavelet,50.0,8,800,1.0,1.1439670828710045,5.490339936017039,0.0,0.125,0.125,False,exploratory SNR slice; not a frozen validity domain
harmonics,s_transform,20.0,11,1100,1.0,5.235826957475765,5.680979687844897,0.09090909090909091,0.09090909090909091,0.09090909090909091,False,exploratory SNR slice; not a frozen validity domain
harmonics,s_transform,30.0,7,700,1.0,0.17279693640421442,2.2860550767723744,0.02857142857142857,0.2857142857142857,0.2857142857142857,False,exploratory SNR slice; not a frozen validity domain
harmonics,s_transform,40.0,8,800,1.0,0.22996471958537903,3.1904060683643998,0.125,0.25,0.27875,False,exploratory SNR slice; not a frozen validity domain
harmonics,s_transform,50.0,1,100,1.0,3.321856462656435,3.3218565816012338,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
harmonics,stft,20.0,11,1100,1.0,2.3297846026523774,3.0857954138560073,0.0,0.0027272727272727275,0.3009090909090909,False,exploratory SNR slice; not a frozen validity domain
harmonics,stft,30.0,7,700,1.0,0.08660263298670598,2.0235335306488293,0.14285714285714285,0.2857142857142857,0.5685714285714286,False,exploratory SNR slice; not a frozen validity domain
harmonics,stft,40.0,8,800,1.0,0.1824060451906034,2.85639010019876,0.05375,0.125,0.375,False,exploratory SNR slice; not a frozen validity domain
harmonics,stft,50.0,1,100,1.0,3.2251488395270886,3.2251492447395216,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
harmonics,vmd,20.0,11,1100,1.0,0.3002179279847201,2.6951645040035723,0.15454545454545454,0.3981818181818182,0.6809090909090909,False,exploratory SNR slice; not a frozen validity domain
harmonics,vmd,30.0,7,700,1.0,1.3335472329564522,2.6690122125407165,0.0,0.0,0.42857142857142855,False,exploratory SNR slice; not a frozen validity domain
