stratum,method,target_name,feature_name,all_record_n,independent_conditions,estimable_n,structurally_undefined_n,primary_failure_due_to_nonestimability_n,availability_proportion,availability_cluster_bootstrap_ci_low,availability_cluster_bootstrap_ci_high,conditional_normalized_mae,conditional_normalized_mae_cluster_bootstrap_ci_low,conditional_normalized_mae_cluster_bootstrap_ci_high,conditional_normalized_median_absolute_error,conditional_normalized_rmse,conditional_calibration_slope,conditional_calibration_intercept,conditional_pearson_correlation,standardized_absolute_bias,standardized_rmse,all_record_pass_proportion_half_tolerance,all_record_pass_proportion_primary_tolerance,all_record_pass_proportion_double_tolerance,bias_gate_pass,rmse_gate_pass,all_record_95_percent_gate_pass,extraction_failure_rate,extraction_failure_gate_pass,numerical_development_gates_pass,physical_response_gate_status,calibration_ci_gate_status,development_qualification_status,final_qualification_status
flicker,s_transform,modulation_frequency_hz,envelope_modulation_frequency_hz,3600,36,3600,0,0,1.0,1.0,1.0,0.040939776758661256,0.010632131866140837,0.0850972460987824,0.008350328852783487,0.14367280310694006,0.8862361325576117,0.603757380733873,0.9178866298689745,0.3868600937342564,2.11663291670765,0.9172222222222223,0.9563888888888888,0.9563888888888888,False,False,True,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
flicker,stft,modulation_frequency_hz,envelope_modulation_frequency_hz,3600,36,3600,0,0,1.0,1.0,1.0,0.01551044482183193,0.01051985412775161,0.02199316589642223,0.008346599592387578,0.04705243600419006,0.9845922502717159,0.012906592116339604,0.9912115176111556,0.13796990349399635,0.7018251515486409,0.8863888888888889,0.9975,0.9975,True,True,True,0.0,True,True,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,PENDING_CALIBRATION_AND_PHYSICAL_RESPONSE_GATES,BLOCKED_PENDING_CONFIRMATION
flicker,vmd,modulation_frequency_hz,envelope_modulation_frequency_hz,3600,36,3600,0,0,1.0,1.0,1.0,0.307177170233748,0.26569576449342425,0.3462826209901827,0.32956565823728623,0.330234771903626,0.08520713057441306,12.301773018042912,0.7600963628807328,4.582856027848004,12.83765715035636,0.027777777777777776,0.05555555555555555,0.1111111111111111,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
flicker,wavelet,modulation_frequency_hz,envelope_modulation_frequency_hz,3600,36,3600,0,0,1.0,1.0,1.0,0.3244750280023662,0.2767503344147812,0.3718136998043401,0.3377961365148929,0.35320950153747777,0.0461134157591202,12.939477372495082,0.2015718682176452,5.466966664548686,15.675141668327267,0.0005555555555555556,0.05611111111111111,0.08333333333333333,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
harmonics,s_transform,a3_pu,high_band_energy_fraction,2700,27,2700,0,0,1.0,1.0,1.0,0.4005752812365843,0.30883997490116216,0.49437708597474256,0.3690574468103538,0.4704604877443713,-0.14494545716910903,0.08000811728282965,-0.23543953274063484,1.8971460651134981,4.234144389699342,0.08148148148148149,0.18518518518518517,0.1937037037037037,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
harmonics,stft,a3_pu,high_band_energy_fraction,2700,27,2700,0,0,1.0,1.0,1.0,0.2705377868492712,0.21564574790146318,0.3272360249574562,0.26470277524980673,0.3091942603627809,0.16785017205175484,0.051893854784014155,0.40526391366502434,0.7532227776747145,2.7827483432650286,0.05296296296296296,0.11222222222222222,0.3811111111111111,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
harmonics,vmd,a3_pu,high_band_energy_fraction,2700,27,2700,0,0,1.0,1.0,1.0,0.25551257226916396,0.20038539997987131,0.3158458998485642,0.19926193826252694,0.30364059059926,0.21518007136488743,0.0368097846662028,0.41356474907710206,0.5028701352382486,2.732765315393341,0.0637037037037037,0.16296296296296298,0.5325925925925926,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
harmonics,wavelet,a3_pu,high_band_energy_fraction,2700,27,2700,0,0,1.0,1.0,1.0,0.180151993547433,0.13723967694751263,0.22394762349926936,0.17007278282068938,0.21422422678897857,0.5160421733952363,0.029025577539557097,0.7667881069803372,0.32259488308393053,1.9280180411008074,0.0811111111111111,0.36962962962962964,0.7444444444444445,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
impulsive_transient,s_transform,absolute_amplitude_pu,high_band_energy_fraction,3400,34,3400,0,0,1.0,1.0,1.0,0.4480120995393553,0.3253056814115949,0.5751833340819226,0.28043636907338615,0.5898662905687245,0.9035902443203717,0.4120340975709405,0.5068364580521527,14.358649607784239,22.91097676197667,0.07941176470588235,0.15088235294117647,0.20558823529411765,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
impulsive_transient,stft,absolute_amplitude_pu,high_band_energy_fraction,3400,34,3400,0,0,1.0,1.0,1.0,0.1791969998829126,0.14743740803603742,0.2119177686059586,0.17297725933576072,0.20365514272530608,0.6296154718163408,0.2822205367116366,0.7394823922849978,4.370040771733692,10.039723734239,0.06382352941176471,0.08529411764705883,0.22176470588235295,False,False,False,0.0,True,False,PENDING_TARGET_VS_NUISANCE_MODEL,PENDING_CLUSTER_BOOTSTRAP_CI,DEVELOPMENT_NUMERICAL_GATE_FAIL,BLOCKED_PENDING_CONFIRMATION
